,Country,Code,year_and_week,case_incidence_per_100k,death_incidence_per_100k,percent_vaccinated
10466,Portugal,PRT,2020-W51,246.70767216432247,5.5899795678955515,0.0
10467,Portugal,PRT,2020-W52,198.8282819523475,4.715026244224944,0.0
10468,Portugal,PRT,2020-W53,317.71499523199043,4.851130094573705,0.0
10469,Portugal,PRT,2021-W01,548.6443424594529,6.659366963492961,0.0
10470,Portugal,PRT,2021-W02,642.721268161236,10.285562404927814,0.01
10471,Portugal,PRT,2021-W03,839.8482519842239,15.632499382914865,0.33
10472,Portugal,PRT,2021-W04,819.7923774649745,19.569789339432603,0.77
10473,Portugal,PRT,2021-W05,436.48504806847734,16.29357522746599,1.1
10474,Portugal,PRT,2021-W06,197.7588945567501,11.306341282543524,1.93
10475,Portugal,PRT,2021-W07,114.4147296253265,6.231612005253997,2.37
10476,Portugal,PRT,2021-W08,68.41162820744522,3.451204776700732,2.56
10477,Portugal,PRT,2021-W09,53.78046429495338,2.16793990198384,2.87
10478,Portugal,PRT,2021-W10,40.471452071563796,1.399925317872973,3.36
10479,Portugal,PRT,2021-W11,31.819135870821114,0.8166231020925676,4.43
10480,Portugal,PRT,2021-W12,27.969341246670435,0.6707975481474662,4.65
10481,Portugal,PRT,2021-W13,28.46514813008378,0.4083115510462838,5.49
10482,Portugal,PRT,2021-W14,40.43256525717843,0.3597030330645833,6.02
10483,Portugal,PRT,2021-W15,34.094014512364694,0.2819294042938626,6.57
10484,Portugal,PRT,2021-W16,33.45238207500625,0.1944340719268018,7.95
10485,Portugal,PRT,2021-W17,27.561029695624153,0.11666044315608108,8.85
10486,Portugal,PRT,2021-W18,22.408526789563904,0.14582555394510135,11.01
10487,Portugal,PRT,2021-W19,25.276429350484232,0.14582555394510135,14.01
10488,Portugal,PRT,2021-W20,29.57342234006655,0.0972170359634009,16.18
10489,Portugal,PRT,2021-W21,33.38433014983187,0.05833022157804054,19.42
10490,Portugal,PRT,2021-W22,38.77015394220428,0.10693873955974098,22.76
10491,Portugal,PRT,2021-W23,46.67389896602877,0.12638214675242115,25.24
10492,Portugal,PRT,2021-W24,73.9141124429737,0.17499066473412161,29.07
10493,Portugal,PRT,2021-W25,92.32701905444183,0.1847123683304617,32.47
10494,Portugal,PRT,2021-W26,141.36329199438126,0.2722077006975225,36.71
10495,Portugal,PRT,2021-W27,183.60409412047895,0.4277549582389639,42.81
10496,Portugal,PRT,2021-W28,220.7896103764798,0.4958068834133446,47.94
10497,Portugal,PRT,2021-W29,217.51339626451318,0.8263448056889077,53.09
10498,Portugal,PRT,2021-W30,173.80461689536813,0.7485711769181869,58.0
10499,Portugal,PRT,2021-W31,155.83890864933161,0.9527269524413288,62.98
10500,Portugal,PRT,2021-W32,159.12484446489458,0.9235618416523085,66.46
10501,Portugal,PRT,2021-W33,156.37360234713034,0.7485711769181869,68.83
10502,Portugal,PRT,2021-W34,150.94889174037257,0.7971796948998873,70.22
10503,Portugal,PRT,2021-W35,117.63261351571508,0.7485711769181869,73.17
10504,Portugal,PRT,2021-W36,82.99418360195534,0.6124673265694257,76.23
10505,Portugal,PRT,2021-W37,62.84109204674233,0.44719836543164415,78.77
10506,Portugal,PRT,2021-W38,47.607182511277415,0.4569200690279842,79.81
10507,Portugal,PRT,2021-W39,40.52978229314183,0.37914644025726346,80.4
10508,Portugal,PRT,2021-W40,40.8117116974357,0.4666417726243243,80.86
10509,Portugal,PRT,2021-W41,43.68933596195236,0.544415401395045,81.24
10510,Portugal,PRT,2021-W42,51.836123575685356,0.34998132946824323,81.54
10511,Portugal,PRT,2021-W43,53.59575192662292,0.23332088631216216,81.72
10512,Portugal,PRT,2021-W44,67.13808503632465,0.44719836543164415,81.86
10513,Portugal,PRT,2021-W45,96.54623841525343,0.5249719942023648,82.02
10514,Portugal,PRT,2021-W46,143.83260470785163,0.6221890301657658,82.15
10515,Portugal,PRT,2021-W47,198.55607425165002,0.9332835452486486,82.29
10516,Portugal,PRT,2021-W48,234.09862259986934,1.1666044315608108,82.44
10517,Portugal,PRT,2021-W49,267.3565706029488,1.176326135157151,82.62
10518,Portugal,PRT,2021-W50,299.5645746176235,1.1666044315608108,82.75
10519,Portugal,PRT,2021-W51,531.6119177586652,0.9332835452486486,82.9
10520,Portugal,PRT,2021-W52,1402.1710314037275,1.1277176171754504,83.09
10521,Portugal,PRT,2022-W01,2098.2352871980816,1.1957695423498311,83.22
10522,Portugal,PRT,2022-W02,2383.0617591636537,1.847123683304617,83.38
10523,Portugal,PRT,2022-W03,3274.7655781307553,2.585973156626464,83.5
10524,Portugal,PRT,2022-W04,3792.057426492012,2.7901289321496057,83.6
10525,Portugal,PRT,2022-W05,3547.303816750554,3.5581435162604724,84.21
10526,Portugal,PRT,2022-W06,1907.3010285659623,2.9942847076727475,84.31
10527,Portugal,PRT,2022-W07,250.99494345030843,0.8749533236706081,84.31
10528,Paraguay,PRY,2020-W01,0.0,0.0,0.0
10529,Paraguay,PRY,2020-W02,0.0,0.0,0.0
10530,Paraguay,PRY,2020-W03,0.0,0.0,0.0
10531,Paraguay,PRY,2020-W04,0.0,0.0,0.0
10532,Paraguay,PRY,2020-W05,0.0,0.0,0.0
10533,Paraguay,PRY,2020-W06,0.0,0.0,0.0
10534,Paraguay,PRY,2020-W07,0.0,0.0,0.0
10535,Paraguay,PRY,2020-W08,0.0,0.0,0.0
10536,Paraguay,PRY,2020-W09,0.0,0.0,0.0
10537,Paraguay,PRY,2020-W10,0.015349057521820988,0.0,0.0
10538,Paraguay,PRY,2020-W11,0.1074434026527469,0.0,0.0
10539,Paraguay,PRY,2020-W12,0.2148868053054938,0.015349057521820988,0.0
10540,Paraguay,PRY,2020-W13,0.6446604159164815,0.030698115043641977,0.0
10541,Paraguay,PRY,2020-W14,0.7521038185692284,0.030698115043641977,0.0
10542,Paraguay,PRY,2020-W15,0.5218679557419136,0.015349057521820988,0.0
10543,Paraguay,PRY,2020-W16,0.9362925088310803,0.030698115043641977,0.0
10544,Paraguay,PRY,2020-W17,0.30698115043641977,0.015349057521820988,0.0
10545,Paraguay,PRY,2020-W18,2.578641663665926,0.015349057521820988,0.0
10546,Paraguay,PRY,2020-W19,4.865651234417253,0.0,0.0
10547,Paraguay,PRY,2020-W20,1.1204811990929322,0.015349057521820988,0.0
10548,Paraguay,PRY,2020-W21,1.1665283716583952,0.0,0.0
