Country,Code,gdp_per_capita
Micronesia (country),FSM,3938.5571
Middle East and North Africa (WB),,18256.998
Middle-income countries,,12821.293
Moldova,MDA,14621.24
Mongolia,MNG,15790.696
Montenegro,MNE,25484.574
Morocco,MAR,8768.176
Mozambique,MOZ,1528.8899
Myanmar,MMR,6562.989
Namibia,NAM,10813.305
Nauru,NRU,11273.141
Nepal,NPL,4607.5244
Netherlands,NLD,68589.68
New Zealand,NZL,47523.23
Nicaragua,NIC,6701.1943
Niger,NER,1612.6373
Nigeria,NGA,5628.1777
North America (WB),,68200.75
North Macedonia,MKD,21990.316
Norway,NOR,87947.55
Oman,OMN,38292.387
Pakistan,PAK,5295.953
Palau,PLW,19312.791
Palestine,PSE,6269.891
Panama,PAN,33163.727
Papua New Guinea,PNG,4301.6113
Paraguay,PRY,15321.324
Peru,PER,15466.295
Philippines,PHL,9452.294
Poland,POL,38846.504
Portugal,PRT,40400.805
Puerto Rico,PRI,43078.01
Qatar,QAT,113160.98
Romania,ROU,36964.258
Russia,RUS,37698.953
Rwanda,RWA,2665.1868
Saint Kitts and Nevis,KNA,31496.594
Saint Lucia,LCA,22738.012
Saint Vincent and the Grenadines,VCT,16186.346
Samoa,WSM,7033.521
San Marino,SMR,60171.047
Sao Tome and Principe,STP,5702.0835
Saudi Arabia,SAU,56365.508
Senegal,SEN,4070.6123
Serbia,SRB,21782.447
Seychelles,SYC,34346.07
Sierra Leone,SLE,2851.9792
Singapore,SGP,119572.27
Sint Maarten (Dutch part),SXM,45996.793
Slovakia,SVK,37273.133
Slovenia,SVN,44930.54
Solomon Islands,SLB,2661.5999
Somalia,SOM,1491.1077
South Africa,ZAF,14370.238
South Asia (WB),,7442.5405
South Korea,KOR,46903.84
Spain,ESP,46682.477
Sri Lanka,LKA,14637.444
Sub-Saharan Africa (WB),,4357.5137
Sudan,SDN,3625.5232
Suriname,SUR,22966.74
Sweden,SWE,61615.992
Switzerland,CHE,80315.68
Syria,SYR,4825.4062
Tajikistan,TJK,3649.8838
Tanzania,TZA,3484.6326
Thailand,THA,21277.082
Togo,TGO,2501.0308
Tonga,TON,6875.0254
Trinidad and Tobago,TTO,34349.13
Tunisia,TUN,13175.778
Turkey,TUR,28400.7
Turkmenistan,TKM,15231.306
Turks and Caicos Islands,TCA,27826.016
Tuvalu,TUV,5292.025
Uganda,UGA,2689.4102
Ukraine,UKR,17636.555
United Arab Emirates,ARE,68887.84
United Kingdom,GBR,54440.105
United States,USA,69511.766
United States Virgin Islands,VIR,45632.637
Upper-middle-income countries,,18298.5
Uruguay,URY,30108.074
Uzbekistan,UZB,8755.126
Vanuatu,VUT,3512.072
Vietnam,VNM,11628.614
