Country,Code,land_boundaries,coastline,num_border_countries,border_countries
Lesotho,LSO,1106,0,1,"South Africa 1,106 km"
Liberia,LBR,1667,579,3,Guinea 590 km; Cote d'Ivoire 778 km; Sierra Leone 299 km
Libyan Arab Jamahiriya,LBY,4339,1770,6,"Algeria 989 km; Chad 1,050 km; Egypt 1,115 km; Niger 342 km; Sudan 382 km; Tunisia 461 km"
Liechtenstein,LIE,75,0,2,Austria 34 km; Switzerland 41 km
Lithuania,LTU,1545,90,4,Belarus 640 km; Latvia 544 km; Poland 100 km; Russia (Kaliningrad) 261 km
Luxembourg,LUX,327,0,3,Belgium 130 km; France 69 km; Germany 128 km
Macao,MAC,3,41,1,China 3 km
"Macedonia, The Former Yugoslav Republic Of",MKD,838,0,5,Albania 181 km; Bulgaria 162 km; Greece 234 km; Kosovo 160 km; Serbia 101 km
Madagascar,MDG,0,4828,0,
Malawi,MWI,2857,0,3,"Mozambique 1,498 km; Tanzania 512 km; Zambia 847 km"
Malaysia,MYS,2742,4675,3,"Brunei 266 km; Indonesia 1,881 km; Thailand 595 km"
Maldives,MDV,0,644,0,
Mali,MLI,7908,0,6,"Algeria 1,359 km; Burkina Faso 1,325 km; Cote d'Ivoire 599 km; Guinea 1,062 km; Mauritania 2,236 km; Niger 838 km, Senegal 489 km"
Malta,MLT,0,196.8,0,
Marshall Islands,MHL,0,370.4,0,
Mauritania,MRT,5002,754,4,"Algeria 460 km; Mali 2,236 km; Morocco 1,564 km; Senegal 742 km"
Mauritius,MUS,0,177,0,
Mexico,MEX,4389,9330,3,"Belize 276 km; Guatemala 958 km; US 3,155 km"
"Micronesia, Federated States of",FSM,0,6112,0,
"Moldova, Republic of",MDA,1885,0,2,Romania 683 km; Ukraine 1202 km
Monaco,MCO,6,4.1,1,France 6 km
Mongolia,MNG,8082,0,2,"China 4,630 km; Russia 3,452 km"
Montenegro,MNE,680,293.5,5,Albania 186 km; Bosnia and Herzegovina 242 km; Croatia 19 km; Kosovo 76 km; Serbia 157 km
Montserrat,MSR,0,40,0,
Morocco,MAR,3523.5,2945,3,"Algeria 1,941 km; Mauritania 1,564 km; Spain (Ceuta) 8 km and Spain (Melilla) 10.5 km"
Mozambique,MOZ,4783,2470,6,"Malawi 1498 km; South Africa 496 km; Eswatini 108 km; Tanzania 840 km; Zambia 439 km; Zimbabwe 1,402 km"
Myanmar,MMR,6522,1930,5,"Bangladesh 271 km; China 2,129 km; India 1,468 km; Laos 238 km; Thailand 2,416 km"
Namibia,NAM,4220,1572,4,"Angola 1,427 km; Botswana 1,544 km; South Africa 1,005 km; Zambia 244 km"
Nauru,NRU,0,30,0,
Nepal,NPL,3159,0,2,"China 1,389 km; India 1,770 km"
Netherlands,NLD,1053,451,2,Belgium 478 km; Germany 575 km
New Caledonia,NCL,0,2254,0,
New Zealand,NZL,0,15134,0,
Nicaragua,NIC,1253,910,2,Costa Rica 313 km; Honduras 940 km
Niger,NER,5834,0,7,"Algeria 951 km; Benin 277 km; Burkina Faso 622 km; Chad 1,196 km; Libya 342 km; Mali 838 km; Nigeria 1,608 km"
Nigeria,NGA,4477,853,4,"Benin 809 km; Cameroon 1,975 km; Chad 85 km; Niger 1,608 km"
Niue,NIU,0,64,0,
Norfolk Island,NFK,0,32,0,
Northern Mariana Islands,MNP,0,1482,0,
Norway,NOR,2566,25148,3,"Finland 709 km; Sweden 1,666 km; Russia 191 km"
Oman,OMN,1561,2092,3,Saudi Arabia 658 km; UAE 609 km; Yemen 294 km
Pakistan,PAK,7257,1046,4,"Afghanistan 2,670 km; China 438 km; India 3,190 km; Iran 959 km"
Palau,PLW,0,1519,0,
Palestine,PSE,550,40,3,Egypt 13 km; Israel 389 km; Jordan 148 km
Panama,PAN,687,2490,2,Colombia 339 km; Costa Rica 348 km
Papua New Guinea,PNG,824,5152,1,Indonesia 824 km
Paracel Islands,,0,518,0,
Paraguay,PRY,4655,0,3,"Argentina 2,531 km; Bolivia 753 km; Brazil 1,371 km"
Peru,PER,7062,2414,5,"Bolivia 1,212 km; Brazil 2,659 km; Chile 168 km; Colombia 1,494 km; Ecuador 1,529 km"
Philippines,PHL,0,36289,0,
Pitcairn,PCN,0,51,0,
Poland,POL,2865,440,6,"Belarus 375 km; Czechia 699 km; Germany 467 km; Lithuania 100 km, Russia (Kaliningrad Oblast) 209 km; Slovakia 517 km; Ukraine 498 km"
Portugal,PRT,1224,1793,1,"Spain 1,224 km"
Puerto Rico,PRI,0,501,0,
Qatar,QAT,87,563,1,Saudi Arabia 87 km
Romania,ROU,2844,225,5,Bulgaria 605 km; Hungary 424 km; Moldova 683 km; Serbia 531 km; Ukraine 601 km
